NAME,ORPM,DRPM,RPM,RPM WINS
Giannis Antetokounmpo,7.22,3.09,10.30,18.03
LeBron James,5.78,3.81,9.58,19.47
James Harden,6.31,1.18,7.49,17.72
Nikola Jokic,2.50,3.51,6.01,13.08
Chris Paul,3.39,2.12,5.51,12.00
Kyle Lowry,3.19,2.02,5.21,11.10
Kawhi Leonard,3.37,1.73,5.10,9.63
Stephen Curry,5.93,-1.20,4.72,0.73
Luka Doncic,4.88,-0.61,4.28,9.51
Rudy Gobert,-0.78,4.85,4.07,10.28
Jayson Tatum,1.25,2.62,3.87,9.71
Duncan Robinson,0.75,3.09,3.83,9.11
Joel Embiid,1.81,2.00,3.81,6.41
Russell Westbrook,4.33,-0.69,3.64,9.03
Khris Middleton,3.08,0.55,3.63,8.03
Christian Wood,1.54,1.99,3.53,5.26
Zion Williamson,2.73,0.57,3.29,2.74
Mychal Mulder,-0.13,3.40,3.27,0.46
Kristaps Porzingis,0.89,2.36,3.24,7.05
Pascal Siakam,0.71,2.50,3.21,8.27
Damian Lillard,5.59,-2.45,3.14,9.34
Jrue Holiday,2.02,1.08,3.11,8.26
Jimmy Butler,1.44,1.64,3.08,7.18
Kyrie Irving,4.78,-1.73,3.05,2.54
Daniel Theis,-1.42,4.45,3.03,5.76
Joe Ingles,0.04,2.82,2.86,7.59
Shaquille Harrison,-0.16,2.99,2.83,1.73
D.J. Augustin,0.08,2.75,2.83,5.00
Brook Lopez,-0.81,3.60,2.80,6.70
Bam Adebayo,-0.39,3.06,2.67,8.15
Patrick Beverley,-0.35,3.01,2.67,4.66
Devin Booker,4.30,-1.71,2.59,8.68
Nikola Vucevic,0.58,2.00,2.57,6.74
Tobias Harris,-0.49,3.02,2.53,8.16
Anthony Davis,2.02,0.50,2.53,7.19
Ricky Rubio,0.89,1.55,2.44,6.77
Danilo Gallinari,2.18,0.24,2.42,5.88
Dennis Schroder,2.07,0.30,2.37,6.48
CJ McCollum,1.18,1.18,2.36,8.10
Montrezl Harrell,2.31,0.03,2.34,5.80
Robert Covington,0.11,2.19,2.30,7.00
Marcus Smart,0.76,1.53,2.29,6.14
Ivica Zubac,-0.20,2.40,2.20,4.12
Karl-Anthony Towns,5.80,-3.68,2.12,3.75
Gordon Hayward,1.67,0.44,2.11,5.37
Eric Bledsoe,3.06,-0.95,2.11,5.37
Derrick Favors,-0.25,2.33,2.08,3.91
Marc Gasol,-1.34,3.42,2.08,3.58
Donte DiVincenzo,1.88,0.19,2.08,4.79
Norman Powell,1.42,0.62,2.04,4.56
Chris Chiozza,0.79,1.18,1.97,1.23
Fred VanVleet,0.68,1.25,1.92,5.66
Devonte' Graham,0.90,1.00,1.90,5.94
Wesley Matthews,-1.01,2.88,1.87,4.91
Reggie Jackson,0.69,1.14,1.82,2.06
Kris Dunn,-1.19,3.01,1.82,3.61
Davis Bertans,4.36,-2.55,1.81,4.69
Paul George,3.07,-1.37,1.70,3.95
Jarrett Allen,-0.75,2.39,1.64,5.07
Lonzo Ball,1.43,0.20,1.64,5.71
Lou Williams,3.39,-1.77,1.63,5.19
John Collins,1.09,0.51,1.60,3.75
Patty Mills,3.32,-1.73,1.59,4.07
Paul Millsap,-1.40,2.94,1.54,3.13
J.J. Barea,1.80,-0.28,1.52,1.17
Bogdan Bogdanovic,0.49,1.01,1.51,4.53
Tim Hardaway Jr.,0.83,0.65,1.48,5.47
Hassan Whiteside,-0.12,1.55,1.43,5.00
Richaun Holmes,-1.56,2.98,1.42,3.09
Will Barton,0.40,1.01,1.41,4.67
Jaylen Brown,1.05,0.35,1.41,4.86
Domantas Sabonis,-0.19,1.57,1.38,5.31
Alex Caruso,-0.33,1.70,1.38,2.97
Doug McDermott,1.29,0.08,1.37,3.47
D'Angelo Russell,3.62,-2.25,1.37,3.78
George Hill,1.56,-0.20,1.37,3.26
Goran Dragic,2.26,-0.89,1.37,4.15
Enes Kanter,0.35,1.02,1.37,2.42
Spencer Dinwiddie,3.14,-1.78,1.37,5.06
Chris Clemons,2.56,-1.23,1.33,0.75
Jonas Valanciunas,-0.71,2.03,1.32,4.67
Dorian Finney-Smith,-0.31,1.61,1.30,5.17
Ben Simmons,2.14,-0.85,1.29,4.99
Kemba Walker,2.46,-1.20,1.26,4.21
Jaylen Nowell,0.55,0.67,1.22,0.39
Terence Davis,2.58,-1.38,1.21,2.82
Steven Adams,-0.23,1.43,1.20,3.95
John Konchar,0.34,0.85,1.19,0.43
Danny Green,0.03,1.14,1.17,4.01
Isaac Bonga,-2.31,3.47,1.16,3.01
Malcolm Brogdon,-0.16,1.31,1.15,3.85
Al Horford,0.01,1.11,1.11,4.69
Luke Kennard,0.68,0.42,1.10,2.02
Damion Lee,0.17,0.94,1.10,3.36
Evan Fournier,0.80,0.27,1.07,4.72
Dion Waiters,0.94,0.05,0.99,0.47
Jalen Brunson,0.95,0.03,0.98,2.24
Trae Young,7.14,-6.17,0.97,4.92
Aaron Gordon,-1.05,2.02,0.97,4.42
Derrick White,0.45,0.51,0.95,3.79
Mikal Bridges,-0.38,1.31,0.93,4.56
Aaron Holiday,-0.84,1.76,0.92,3.50
Jamal Murray,-0.39,1.31,0.91,3.97
Mike Muscala,0.02,0.88,0.89,1.23
Chris Boucher,0.57,0.32,0.89,1.75
Deandre Ayton,-0.37,1.21,0.84,2.66
Bojan Bogdanovic,1.83,-1.01,0.83,4.36
Dillon Brooks,-0.77,1.57,0.80,4.56
Royce O'Neale,-1.06,1.85,0.79,4.24
Thomas Bryant,0.26,0.53,0.79,2.49
Jordan Clarkson,1.41,-0.64,0.77,3.51
Willie Cauley-Stein,-2.14,2.85,0.71,2.23
T.J. Warren,-1.05,1.76,0.71,4.41
Draymond Green,-0.43,1.12,0.70,2.52
Joe Harris,0.46,0.24,0.69,4.37
Ryan Broekhoff,0.99,-0.33,0.66,0.37
David Nwaba,-0.09,0.75,0.66,0.55
Kyle Anderson,-1.52,2.17,0.65,2.74
Nerlens Noel,-0.57,1.22,0.65,2.21
Caleb Martin,-1.39,2.03,0.64,0.59
Brandon Ingram,1.83,-1.20,0.63,4.34
Serge Ibaka,-0.64,1.27,0.62,2.88
Victor Oladipo,-0.19,0.81,0.62,1.05
Eric Gordon,2.25,-1.65,0.61,2.11
Shabazz Napier,0.54,0.05,0.60,2.70
Trey Lyles,-1.16,1.75,0.60,2.48
Myles Turner,-2.36,2.90,0.54,3.42
Patrick Patterson,-0.43,0.94,0.51,1.51
Naz Reid,-0.21,0.72,0.51,0.98
Denzel Valentine,0.78,-0.28,0.49,0.90
Josh Hart,1.07,-0.58,0.49,3.41
Matt Thomas,0.39,0.10,0.49,0.82
Jonathan Isaac,-1.48,1.95,0.47,1.81
Troy Daniels,-0.11,0.57,0.46,0.98
Clint Capela,0.04,0.40,0.45,2.45
Jakob Poeltl,0.47,-0.04,0.43,2.20
Wayne Ellington,-0.46,0.84,0.39,0.97
Shai Gilgeous-Alexander,0.16,0.22,0.38,4.33
Tyus Jones,1.85,-1.50,0.35,2.30
De'Anthony Melton,0.98,-0.66,0.31,2.14
Bradley Beal,5.09,-4.79,0.30,3.69
Boban Marjanovic,0.32,-0.05,0.27,0.72
Caris LeVert,-0.18,0.45,0.26,2.32
Malik Beasley,1.49,-1.25,0.24,2.10
Seth Curry,1.51,-1.28,0.23,2.65
Mason Plumlee,0.20,0.02,0.23,1.73
Otto Porter Jr.,-0.31,0.52,0.21,0.56
Nemanja Bjelica,-0.85,1.05,0.20,3.30
Josh Jackson,1.44,-1.23,0.20,0.67
Ja Morant,-0.21,0.40,0.20,3.55
Furkan Korkmaz,0.51,-0.35,0.16,2.58
Garrison Mathews,0.74,-0.58,0.16,0.38
Gorgui Dieng,-1.83,1.97,0.14,1.81
Avery Bradley,-1.12,1.26,0.14,1.94
John Henson,-1.25,1.38,0.13,0.96
Mitchell Robinson,0.19,-0.06,0.13,2.17
Dwight Powell,-0.44,0.57,0.13,1.68
Kevin Love,0.38,-0.28,0.10,2.80
Trevor Ariza,-0.61,0.71,0.10,2.37
Garrett Temple,-0.48,0.56,0.07,2.78
Larry Nance Jr.,-0.42,0.43,0.02,2.18
Matisse Thybulle,-0.96,0.97,0.00,1.95
Yuta Watanabe,-0.55,0.55,-0.01,0.16
Brandon Clarke,1.63,-1.64,-0.01,2.07
Terrence Ross,0.36,-0.41,-0.05,2.78
Alex Len,-1.07,1.00,-0.07,1.47
Aron Baynes,-0.07,-0.01,-0.07,1.40
Luguentz Dort,-1.74,1.64,-0.10,1.18
Ben McLemore,2.50,-2.60,-0.10,2.44
Luka Samanic,-0.75,0.65,-0.10,0.07
Maxi Kleber,-0.63,0.53,-0.10,2.74
Trey Burke,-0.17,0.05,-0.12,0.73
Jabari Parker,1.84,-1.99,-0.15,1.34
Rondae Hollis-Jefferson,-0.83,0.68,-0.15,1.57
Tony Snell,-1.96,1.80,-0.16,2.21
OG Anunoby,-2.11,1.95,-0.16,2.90
Keldon Johnson,-0.39,0.22,-0.17,0.46
Jake Layman,-0.15,-0.02,-0.17,0.77
Dwight Howard,-0.76,0.58,-0.18,1.78
Zach LaVine,2.06,-2.27,-0.21,2.88
