NAME,TEAM,SALARY
Stephen Curry,Golden State Warriors,40231758
Russell Westbrook,Houston Rockets,38506482
Chris Paul,Oklahoma City Thunder,38506482
James Harden,Houston Rockets,38199000
Kevin Durant,Brooklyn Nets,38199000
John Wall,Houston Rockets,38199000
LeBron James,Los Angeles Lakers,37436858
Kyle Lowry,Toronto Raptors,34996296
Blake Griffin,Detroit Pistons,34449964
Tobias Harris,Philadelphia 76ers,32742000
Jimmy Butler,Miami Heat,32742000
Kawhi Leonard,LA Clippers,32742000
Klay Thompson,Golden State Warriors,32742000
Kemba Walker,Boston Celtics,32742000
Gordon Hayward,Boston Celtics,32700690
Mike Conley,Utah Jazz,32511624
Kyrie Irving,Brooklyn Nets,31742000
Khris Middleton,Milwaukee Bucks,30603448
Paul George,LA Clippers,30560700
Paul Millsap,Denver Nuggets,30350000
Damian Lillard,Portland Trail Blazers,29802321
Kevin Love,Cleveland Cavaliers,28942830
Al Horford,Philadelphia 76ers,28000000
Nikola Vucevic,Orlando Magic,28000000
DeMar DeRozan,San Antonio Spurs,27739975
CJ McCollum,Portland Trail Blazers,27556959
Joel Embiid,Philadelphia 76ers,27504630
Andrew Wiggins,Minnesota Timberwolves,27504630
Nikola Jokic,Denver Nuggets,27504630
Devin Booker,Phoenix Suns,27285000
D'Angelo Russell,Minnesota Timberwolves,27285000
Karl-Anthony Towns,Minnesota Timberwolves,27285000
Kristaps Porzingis,Dallas Mavericks,27285000
Otto Porter Jr.,Chicago Bulls,27250575
Bradley Beal,Washington Wizards,27093019
Andre Drummond,Detroit Pistons,27093019
Anthony Davis,Los Angeles Lakers,27093018
Hassan Whiteside,Portland Trail Blazers,27093017
Jrue Holiday,New Orleans Pelicans,26231111
LaMarcus Aldridge,San Antonio Spurs,26000000
Giannis Antetokounmpo,Milwaukee Bucks,25842697
Steven Adams,Oklahoma City Thunder,25842697
Marc Gasol,Toronto Raptors,25595700
Nicolas Batum,Charlotte Hornets,25565217
Chandler Parsons,Atlanta Hawks,25102511
Harrison Barnes,Sacramento Kings,24147727
Serge Ibaka,Toronto Raptors,23271604
Rudy Gobert,Utah Jazz,23241573
Danilo Gallinari,Oklahoma City Thunder,22615559
Victor Oladipo,Indiana Pacers,21000000
Tim Hardaway Jr.,Dallas Mavericks,20025127
Malcolm Brogdon,Indiana Pacers,20000000
Terry Rozier,Charlotte Hornets,19894737
Aaron Gordon,Orlando Magic,19863636
Zach LaVine,Chicago Bulls,19500000
Kent Bazemore,Sacramento Kings,19269662
Goran Dragic,Miami Heat,19217900
Jeff Teague,Minnesota Timberwolves,19000000
Evan Turner,Atlanta Hawks,18606556
Draymond Green,Golden State Warriors,18539130
Tristan Thompson,Cleveland Cavaliers,18539130
Allen Crabbe,Minnesota Timberwolves,18500000
Julius Randle,New York Knicks,18000000
Myles Turner,Indiana Pacers,18000000
Gary Harris,Denver Nuggets,17839286
Derrick Favors,New Orleans Pelicans,17650000
Andre Iguodala,Miami Heat,17185185
Evan Fournier,Orlando Magic,17150000
Bismack Biyombo,Charlotte Hornets,17000000
Bojan Bogdanovic,Utah Jazz,17000000
Timofey Mozgov,Orlando Magic,16720000
Gorgui Dieng,Memphis Grizzlies,16229213
Ricky Rubio,Phoenix Suns,16200000
Jonas Valanciunas,Memphis Grizzlies,16000000
Brandon Knight,Detroit Pistons,15643750
Kelly Oubre Jr.,Phoenix Suns,15625000
Eric Bledsoe,Milwaukee Bucks,15625000
Dennis Schroder,Oklahoma City Thunder,15500000
Ian Mahinmi,Washington Wizards,15450051
James Johnson,Minnesota Timberwolves,15349400
Bobby Portis,New York Knicks,15000000
Marcus Morris Sr.,New York Knicks,15000000
Clint Capela,Houston Rockets,14896552
Luke Babbitt,Miami Heat,14651700
Danny Green,Los Angeles Lakers,14634146
Rudy Gay,San Antonio Spurs,14500000
Cody Zeller,Charlotte Hornets,14471910
Eric Gordon,Houston Rockets,14057730
Mason Plumlee,Denver Nuggets,14041096
Marcin Gortat,LA Clippers,13565218
JJ Redick,New Orleans Pelicans,13486300
Jordan Clarkson,Utah Jazz,13437500
Dewayne Dedmon,Sacramento Kings,13333333
Jusuf Nurkic,Portland Trail Blazers,13125000
Justise Winslow,Miami Heat,13000000
Thaddeus Young,Chicago Bulls,12900000
Will Barton,Denver Nuggets,12776786
Courtney Lee,Dallas Mavericks,12759670
Solomon Hill,Memphis Grizzlies,12758781
