NAME,Salary by PER,Salary by WAR,Salary by WS,Salary by BPM,Salary by RPM
James Harden,993528.870019595,1138116.4983164982,2001437.7631578948,2600158.4615384615,4061662.750333778
Paul George,1310493.1389365352,2135618.4486373165,2568126.050420168,5556490.909090909,17976882.352941178
Giannis Antetokounmpo,780526.7528271406,1177256.4814814816,1677590.486111111,2236787.314814815,2345369.2233009706
Joel Embiid,971661.5795497901,2858277.21661055,2927270.114942529,6211524.390243903,6684317.585301837
Stephen Curry,1531989.9386503068,2831228.571428571,3861562.2680412373,5945580.0,7935837.711864407
Kawhi Leonard,892779.7219003476,2377990.4320987654,2433059.6842105263,4622813.4,4532170.0
Devin Booker,163269.2118226601,767214.1203703703,946961.4285714285,4142956.25,1279677.6061776062
Kevin Durant,1236603.4624896948,2583979.3281653747,2608695.652173913,6976744.186046512,6048387.096774193
Damian Lillard,1176521.8250630782,1918908.710562414,2312205.7024793387,5086852.545454546,8910092.038216561
Kemba Walker,552486.1878453039,1139601.1396011396,1621621.6216216215,3636363.6363636367,9523809.523809524
Bradley Beal,1220454.0786948176,2545972.2722722716,3346613.552631579,9083665.357142858,84780876.66666667
Blake Griffin,1526590.4852521408,2701088.552188551,4011116.5,6975854.782608696,-78265687.80487806
Karl-Anthony Towns,297173.42683851405,509384.99025341123,753791.8269230769,1152858.0882352942,3697846.6981132072
Kyrie Irving,824751.2925728355,1583860.4412923562,2208702.087912088,3140498.28125,6589898.032786885
Donovan Mitchell,180271.14716106604,677882.3529411765,622296.0,5185800.0,-8188105.263157895
Zach LaVine,1037786.0564129857,6565656.565656564,6964285.714285715,195000000000.0,-92857142.85714287
Russell Westbrook,1686572.847682119,2358078.703703704,5243257.352941177,5485253.846153846,9795096.153846154
Klay Thompson,1137049.4011976048,8791076.388888888,3582778.3018867928,-23735906.25,-57541590.90909091
Julius Randle,411084.68125594675,1684405.4580896685,1416557.3770491804,6172142.857142857,-11521333.333333334
LaMarcus Aldridge,972454.9608355091,3310668.888888889,2402904.838709677,13966884.375,-79810767.85714285
DeMar DeRozan,1414583.1208567058,5137032.407407407,4403170.634920635,30822194.444444444,-19956816.546762593
Luka Doncic,334555.83885772567,65606400000.0,65606400000.0,65606400000.0,1532859.813084112
Jrue Holiday,1336907.4112197633,3317510.9833971905,4810390.925925925,9277182.5,8352447.266881029
D'Angelo Russell,360354.1067761807,787844.8933782267,1403939.6,2064617.0588235294,5123867.153284671
Mike Conley,1422232.7586206896,3532536.458333333,3815139.375,8976798.529411765,-98455209.67741935
CJ McCollum,1510836.715542522,7338964.672364673,4599958.214285715,85865886.66666667,10915155.084745763
Nikola Vucevic,499412.455934195,127500000000.0,127500000000.0,127500000000.0,4961089.494163425
Buddy Hield,218452.2727272727,678088.1834215167,651654.2372881356,3495236.3636363633,-6865642.857142856
Nikola Jokic,932721.0386656559,246051810000.0,246051810000.0,246051810000.0,4094040.099833611
Tobias Harris,855491.3294797688,3045267.489711934,2084507.0422535213,29600000.0,5849802.371541503
Lou Williams,375586.8544600939,2469135.8024691357,1568627.4509803923,20000000.0,4907975.4601227
