NAME,TEAM,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1Bradley Beal,WSH,SG,10,35.9,34.9,12.1,24.5,49.4,2.4,6.4,37.5,8.3,9.5,87.4,5.3,5.0,1.4,0.7,3.3,1,0,27.43
2Kevin Durant,BKN,PF,12,36.3,31.3,10.4,19.5,53.4,2.8,6.1,46.6,7.6,8.8,86.7,7.5,6.0,0.8,1.3,3.7,5,0,28.32
3Stephen Curry,GS,PG,15,34.3,28.2,9.1,20.3,45.1,4.1,11.1,37.1,5.8,6.2,93.5,5.5,6.1,1.3,0.1,3.5,4,0,22.82
4Damian Lillard,POR,PG,14,36.2,28.1,8.5,19.3,44.1,3.7,10.1,36.9,7.4,7.9,94.5,4.7,6.7,1.0,0.3,3.1,1,0,24.42
5Joel Embiid,PHI,C,13,31.3,27.3,8.7,15.5,55.9,1.2,3.1,40.0,8.7,10.2,85.0,11.3,2.8,1.3,1.3,3.2,10,0,30.86
6Zach LaVine,CHI,SG,15,35.6,27.2,9.2,18.2,50.5,3.4,8.7,39.2,5.4,6.2,87.1,4.9,5.5,1.4,0.6,4.0,1,0,22.11
7Giannis Antetokounmpo,MIL,PF,14,32.0,27.0,10.0,18.6,53.8,1.5,4.9,30.9,5.5,9.4,58.3,10.3,5.1,1.1,1.1,3.9,8,2,26.09
8Jaylen Brown,BOS,SG,14,33.7,26.9,10.3,19.6,52.4,2.6,6.4,41.6,3.7,4.9,76.5,6.0,3.7,1.4,0.6,2.9,2,0,25.01
9Jayson Tatum,BOS,SF,10,34.6,26.9,10.1,21.3,47.4,3.5,8.0,43.8,3.2,3.6,88.9,7.1,3.8,1.0,0.8,2.4,3,0,23.12
10Luka Doncic,DAL,PG,14,34.9,26.8,9.6,21.1,45.4,2.1,7.3,28.4,5.6,7.3,76.5,10.0,9.6,0.9,0.7,4.0,9,5,25.81
11CJ McCollum,POR,SG,13,33.8,26.7,9.5,20.0,47.3,4.8,11.0,44.1,2.9,3.5,84.4,3.9,5.0,1.3,0.3,1.0,2,0,26.11
12Nikola Jokic,DEN,C,15,35.3,25.5,9.9,17.3,57.1,1.2,3.4,35.3,4.6,5.5,84.1,11.3,9.9,1.9,0.5,3.9,15,5,31.80
13Kawhi Leonard,LAC,SF,14,34.4,25.4,9.2,18.5,49.8,1.9,4.6,41.5,5.0,5.6,89.7,5.1,5.6,2.1,0.7,1.9,2,0,27.42
14James Harden,HOU/BKN,SG,12,38.2,25.3,7.8,17.2,45.1,3.2,8.9,35.5,6.7,7.6,87.9,6.2,11.0,1.1,0.7,4.8,8,2,22.90
15Trae Young,ATL,PG,15,33.3,25.3,7.2,17.5,41.1,2.1,6.0,34.4,8.8,10.1,86.8,4.4,8.7,0.7,0.2,4.3,7,0,22.10
16Jerami Grant,DET,SF,15,36.5,25.1,8.6,18.6,46.2,2.7,6.7,39.6,5.3,6.2,84.9,6.2,2.7,0.9,1.3,1.5,3,0,21.20
17Paul George,LAC,SG,15,34.4,24.7,8.2,15.9,51.5,3.9,7.7,50.0,4.5,4.9,91.8,6.3,5.5,1.2,0.5,4.0,3,0,23.94
18LeBron James,LAL,SF,16,32.6,24.4,8.8,18.3,48.3,2.6,6.6,39.6,4.1,5.7,72.5,7.8,7.6,0.8,0.4,3.6,6,1,23.99
19Donovan Mitchell,UTAH,SG,15,33.5,24.3,8.5,19.5,43.8,3.5,8.7,40.8,3.7,4.4,84.8,3.9,4.9,0.7,0.5,3.3,0,0,19.20
20Zion Williamson,NO,PF,13,32.7,23.7,9.5,15.9,59.4,0.1,0.3,25.0,4.7,7.2,65.6,7.6,1.8,1.0,0.4,2.6,5,0,24.16
21Christian Wood,HOU,C,12,33.6,23.5,9.3,17.7,52.8,1.8,4.8,36.2,3.1,4.6,67.3,10.8,1.4,0.8,1.8,2.0,7,0,22.94
22Nikola Vucevic,ORL,C,16,33.0,23.3,9.4,19.1,49.3,2.8,6.4,42.7,1.7,2.1,79.4,10.9,3.4,1.3,0.6,1.3,11,0,26.16
23Gordon Hayward,CHA,SF,14,34.6,23.1,8.3,16.5,50.2,2.1,5.1,40.3,4.4,4.9,91.2,5.1,3.7,1.3,0.4,2.1,0,0,20.17
24Devin Booker,PHX,SG,14,35.7,22.9,8.2,17.4,47.3,2.1,6.1,34.1,4.4,5.3,82.4,3.5,4.1,1.1,0.4,4.1,0,0,14.98
24Brandon Ingram,NO,SF,14,34.9,22.9,8.1,17.5,46.1,2.1,5.4,38.2,4.6,5.6,83.3,5.7,4.8,0.7,0.9,2.8,3,0,20.11
26Julius Randle,NY,PF,17,37.0,22.6,7.9,16.6,47.9,1.4,4.0,33.8,5.4,6.7,79.8,11.6,6.2,0.7,0.2,3.4,12,1,20.59
27Malcolm Brogdon,IND,PG,15,36.7,22.5,8.5,18.2,46.5,2.9,6.9,42.3,2.7,2.9,90.9,3.9,7.2,1.6,0.1,1.9,1,0,20.97
28Khris Middleton,MIL,SF,15,32.9,21.9,8.1,15.7,51.9,2.6,5.9,44.3,3.1,3.3,92.0,6.2,5.7,1.0,0.2,2.3,3,0,22.87
29Domantas Sabonis,IND,PF,15,38.2,21.7,8.5,15.4,55.4,0.9,2.5,34.2,3.7,5.7,65.9,12.5,5.9,1.0,0.5,3.4,15,1,21.06
30Shai Gilgeous-Alexander,OKC,SG,14,33.7,21.6,7.7,15.1,50.9,1.8,4.9,36.8,4.4,5.7,77.5,5.1,6.4,0.9,0.4,2.7,2,0,21.53
31Anthony Davis,LAL,PF,14,32.7,21.1,8.3,15.8,52.5,0.9,2.6,35.1,3.6,4.9,72.5,9.0,3.6,1.2,1.9,1.7,6,0,24.75
32De'Aaron Fox,SAC,PG,16,31.3,20.9,7.5,15.9,47.1,1.6,4.3,36.2,4.3,6.4,67.6,3.0,5.9,1.4,0.6,3.0,1,0,19.50
33DeMar DeRozan,SA,SF,14,34.3,20.9,6.9,14.9,45.9,0.6,2.0,32.1,6.5,7.3,89.2,5.5,6.7,1.1,0.6,1.6,1,0,22.30
34Victor Oladipo,HOU/IND,SG,12,33.3,20.6,7.3,17.8,41.3,2.6,7.4,34.8,3.3,4.5,74.1,5.3,4.7,1.8,0.3,2.4,0,0,16.35
35D'Angelo Russell,MIN,SG,14,30.7,20.5,7.5,17.4,43.2,3.0,7.5,40.0,2.5,3.5,71.4,3.0,5.5,1.4,0.5,3.2,1,0,17.22
36Tobias Harris,PHI,PF,13,33.8,19.6,7.8,14.8,52.3,2.1,4.7,44.3,2.0,2.2,89.7,6.8,3.1,1.1,0.9,2.2,1,0,19.32
37Terry Rozier,CHA,SG,15,33.5,19.3,6.9,14.6,47.0,3.2,7.5,42.9,2.3,3.0,77.8,4.1,2.9,1.5,0.5,1.9,0,0,16.84
38Malik Beasley,MIN,SG,14,32.1,19.1,7.1,15.9,44.6,2.7,7.1,38.0,2.2,2.5,88.6,4.6,2.4,0.7,0.3,1.4,0,0,16.07
38Jamal Murray,DEN,PG,14,35.1,19.1,7.1,16.1,44.0,2.1,6.4,32.6,2.9,3.7,76.9,3.7,4.4,1.1,0.2,2.0,0,0,15.10
40Fred VanVleet,TOR,SG,15,35.9,18.9,6.7,16.7,40.2,3.2,9.0,35.6,2.3,2.7,85.0,4.5,6.5,1.3,0.5,1.8,1,0,16.85
41Andre Drummond,CLE,C,14,31.4,18.8,7.7,16.0,48.2,0.0,0.5,0.0,3.4,5.9,57.3,15.1,3.0,1.6,1.4,3.8,13,0,21.34
