NAME,OWS,DWS,Win Shares,WS/48,OBPM,DBPM,BPM,VORP,Wins Above Replacement
Álex Abrines,0.1,0.6,0.6,.053,-2.4,-0.9,-3.4,-0.2,-0.54
Quincy Acy,-0.1,0.0,-0.1,-0.022,-5.7,-0.3,-5.9,-0.1,-0.27
Jaylen Adams,-0.1,0.2,0.1,.011,-3.1,-1.3,-4.4,-0.3,-0.81
Steven Adams,5.1,4.0,9.1,.163,0.6,2.1,2.7,3.2,8.64
Bam Adebayo,3.4,3.4,6.8,.171,-0.6,3.6,3.0,2.4,6.48
Deng Adel,-0.2,0.0,-0.2,-0.054,-5.3,-2.0,-7.3,-0.3,-0.81
DeVaughn Akoon-Purcell,-0.1,0.0,0.0,-0.051,-4.4,0.8,-3.6,0.0,0.0
LaMarcus Aldridge,6.4,2.9,9.3,.167,1.2,0.5,1.6,2.5,6.75
Rawle Alkins,-0.1,0.0,-0.1,-0.042,-4.1,-2.5,-6.5,-0.1,-0.27
Grayson Allen,-0.4,0.4,0.0,.002,-3.7,-3.1,-6.8,-0.5,-1.35
Jarrett Allen,4.4,3.3,7.6,.175,-0.7,3.2,2.5,2.4,6.48
Kadeem Allen,0.7,0.2,1.0,.111,0.5,-1.6,-1.1,0.1,0.27
Al-Farouq Aminu,3.0,2.8,5.8,.121,0.1,0.8,0.9,1.7,4.59
Justin Anderson,0.1,0.4,0.4,.043,-2.6,-0.7,-3.2,-0.1,-0.27
Kyle Anderson,0.8,1.8,2.7,.100,-2.1,3.3,1.2,1.0,2.7
Ryan Anderson,-0.3,0.0,-0.2,-0.035,-4.5,-2.0,-6.4,-0.4,-1.08
Ike Anigbogu,-0.1,0.0,-0.1,-0.480,-22.5,8.5,-14.0,0.0,0.0
Giannis Antetokounmpo,8.9,5.5,14.4,.292,5.7,5.0,10.8,7.6,20.52
Kostas Antetokounmpo,-0.1,0.0,-0.1,-0.247,-15.9,2.7,-13.3,0.0,0.0
Carmelo Anthony,0.1,0.2,0.3,.048,-3.1,-2.8,-5.9,-0.3,-0.81
OG Anunoby,0.3,1.7,2.0,.070,-1.3,0.1,-1.2,0.3,0.81
Ryan Arcidiacono,2.8,0.9,3.7,.090,-0.1,-1.0,-1.0,0.5,1.35
Trevor Ariza,1.3,1.2,2.5,.052,-0.1,-0.4,-0.5,0.9,2.43
D.J. Augustin,5.0,1.9,6.9,.146,1.7,-2.0,-0.3,1.0,2.7
Deandre Ayton,4.1,1.7,5.8,.128,-0.1,0.2,0.2,1.2,3.24
Dwayne Bacon,0.9,0.3,1.2,.073,-1.2,-2.4,-3.5,-0.3,-0.81
Marvin Bagley,2.0,1.6,3.6,.110,-1.2,-0.7,-1.8,0.1,0.27
Ron Baker,-0.2,0.1,-0.1,-0.034,-5.9,-0.7,-6.6,-0.2,-0.54
Wade Baldwin,-0.4,0.1,-0.3,-0.153,-9.3,-1.4,-10.7,-0.2,-0.54
Lonzo Ball,-0.2,1.7,1.6,.052,-0.9,1.5,0.5,0.9,2.43
Mohamed Bamba,0.3,1.4,1.7,.106,-3.3,3.1,-0.2,0.4,1.08
J.J. Barea,0.4,0.6,1.0,.064,1.1,-2.2,-1.1,0.2,0.54
Harrison Barnes,2.0,1.6,3.6,.068,-0.6,-1.8,-2.3,-0.2,-0.54
Will Barton,0.1,1.1,1.2,.049,-1.8,-0.5,-2.3,-0.1,-0.27
Keita Bates-Diop,0.0,0.4,0.3,.032,-3.2,0.0,-3.1,-0.1,-0.27
Nicolas Batum,2.0,1.7,3.7,.076,-0.1,0.9,0.8,1.7,4.59
Jerryd Bayless,-0.2,0.2,0.0,-0.003,-2.4,-2.7,-5.1,-0.5,-1.35
Aron Baynes,1.3,1.1,2.4,.139,-1.2,1.4,0.2,0.5,1.35
Kent Bazemore,-0.7,1.4,0.7,.021,-2.2,0.0,-2.2,-0.1,-0.27
Bradley Beal,5.9,1.7,7.6,.120,3.9,-1.1,2.8,3.7,9.990000000000002
Malik Beasley,2.9,1.6,4.5,.115,1.4,-1.9,-0.5,0.7,1.89
Michael Beasley,-0.1,0.4,0.2,.039,-3.7,-0.4,-4.0,-0.1,-0.27
Marco Belinelli,1.4,1.1,2.5,.065,0.3,-2.4,-2.1,0.0,0.0
Jordan Bell,0.5,1.1,1.6,.096,-3.1,2.8,-0.4,0.3,0.81
DeAndre' Bembry,-0.9,1.7,0.9,.022,-3.3,1.1,-2.2,-0.1,-0.27
Dragan Bender,0.0,0.4,0.5,.027,-3.1,-0.3,-3.4,-0.3,-0.81
Dairis Bertāns,-0.2,0.0,-0.2,-0.054,-4.2,-3.5,-7.7,-0.2,-0.54
Dāvis Bertāns,2.6,1.5,4.0,.118,1.6,-0.4,1.2,1.3,3.5100000000000002
Patrick Beverley,2.8,2.0,4.8,.108,1.2,1.2,2.3,2.3,6.21
Khem Birch,1.8,1.0,2.8,.212,0.2,2.3,2.4,0.7,1.89
Bismack Biyombo,1.2,0.8,2.0,.125,-2.5,1.5,-1.1,0.2,0.54
Nemanja Bjelica,2.7,1.9,4.5,.122,0.8,1.2,2.0,1.8,4.86
Antonio Blakeney,-0.8,0.3,-0.5,-0.030,-4.7,-3.7,-8.4,-1.3,-3.5100000000000002
Eric Bledsoe,4.4,3.7,8.2,.173,2.5,1.0,3.5,3.2,8.64
